City,Barcelona,Belgrade,Berlin,Brussels,Bucharest,Budapest,Copenhagen,Dublin,Hamburg,Istanbul,Kiev,London,Madrid,Milan,Moscow,Munich,Paris,Prague,Rome,Saint Petersburg,Sofia,Stockholm,Vienna,Warsaw
Barcelona,0,379,373,336,416,383,397,372,369,444,455,343,178,318,533,355,315,362,318,502,395,444,370,405
Belgrade,379,0,326,361,274,270,355,433,345,312,323,392,425,290,413,325,372,305,302,407,263,382,286,308
Berlin,373,326,0,291,349,305,261,352,145,395,341,318,408,299,398,190,317,258,345,359,351,303,290,277
Brussels,336,361,291,0,394,347,301,305,273,436,400,265,359,305,459,308,264,299,346,414,388,348,327,337
Bucharest,416,274,349,394,0,295,373,465,369,273,295,425,463,327,388,358,407,332,337,396,254,388,316,313
Budapest,383,270,305,347,295,0,333,418,324,339,319,378,428,289,404,312,361,285,318,390,294,360,268,287
Copenhagen,397,355,261,301,373,333,0,345,252,419,350,321,426,329,392,325,331,289,375,342,379,276,320,289
Dublin,372,433,352,305,465,418,345,0,327,508,463,278,371,375,508,380,310,368,411,452,459,379,399,399
Hamburg,369,345,145,273,369,324,252,327,0,415,359,296,398,308,410,198,303,275,354,364,370,299,308,295
Istanbul,444,312,395,436,273,339,419,508,415,0,330,467,491,364,418,400,447,376,362,435,276,434,359,360
Kiev,455,323,341,400,295,319,350,463,359,330,0,429,498,360,320,376,422,338,387,332,320,345,334,291
London,343,392,318,265,425,378,321,278,296,467,429,0,356,333,483,338,271,330,371,434,418,363,358,365
Madrid,178,425,408,359,463,428,426,371,398,491,498,356,0,362,573,395,336,400,365,537,442,473,413,445
Milan,318,290,299,305,327,289,329,375,308,364,360,333,362,0,441,276,308,277,165,417,313,371,276,315
Moscow,533,413,398,459,388,404,392,508,410,418,320,483,573,441,0,449,486,407,474,207,413,360,414,355
Munich,355,325,190,308,358,312,325,380,198,400,376,338,395,276,449,0,320,277,322,419,351,368,293,321
Paris,315,372,317,264,407,361,331,310,303,447,422,271,336,308,486,320,0,319,342,444,397,378,342,361
Prague,362,305,258,299,332,285,289,368,275,376,338,330,400,277,407,277,319,0,322,377,331,328,268,279
Rome,318,302,345,346,337,318,375,411,354,362,387,371,365,165,474,322,342,322,0,458,314,416,314,354
Saint Petersburg,502,407,359,414,396,390,342,452,364,435,332,434,537,417,207,419,444,377,458,0,417,299,393,330
Sofia,395,263,351,388,254,294,379,459,370,276,320,418,442,313,413,351,397,331,314,417,0,401,312,325
Stockholm,444,382,303,348,388,360,276,379,299,434,345,363,473,371,360,368,378,328,416,299,401,0,354,303
Vienna,370,286,290,327,316,268,320,399,308,359,334,358,413,276,414,293,342,268,314,393,312,354,0,289
Warsaw,405,308,277,337,313,287,289,399,295,360,291,365,445,315,355,321,361,279,354,330,325,303,289,0
