City,latitude,longitude
Barcelona,41.3888,2.159
Belgrade,44.804,20.4651
Berlin,52.5244,13.4105
Brussels,50.8505,4.3488
Bucharest,44.4323,26.1063
Budapest,47.498,19.0399
Copenhagen,55.6759,12.5655
Dublin,53.3331,-6.2489
Hamburg,53.5753,10.0153
Istanbul,41.0138,28.9497
Kiev,50.4547,30.5238
London,51.5085,-0.1257
Madrid,40.4165,-3.7026
Milan,45.5928,12.1728
Moscow,55.7522,37.6156
Munich,48.1374,11.5755
Paris,48.8534,2.3488
Prague,50.088,14.4208
Rome,41.8919,12.5113
Saint Petersburg,59.9386,30.3141
Sofia,42.6975,23.3241
Stockholm,59.3326,18.0649
Vienna,48.2085,16.3721
Warsaw,52.2298,21.0118
